"Data Source","World Development Indicators",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1447708861.20673","1615844601.64351","1749884030.61462","1922269464.26791","2124386768.13186","2224178895.7504","2291759847.27755","2497125591.58529","2575533498.67338","2645065705.20619","2910162905.13092","2885630124.8218","2835314410.0219","2945022088.35996","3263578403.08735","3406102722.27756","3546046052.97751","3706854417.83276","3775529799.68399","3404108436.82609","3316870714.41778","3502845774.57458","3442855767.49202","3799467166.166","3816822068.4595","3893070716.59654","3941353654.93151","4098239741.2414","","","",
"Africa Eastern and Southern","AFE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","521196735064.251","538730917915.112","539790420181.58","550501689794.082","573102985434.685","611153961605.213","656957320618.437","692461358484.026","712960384215.097","743815216295.531","786130941737.972","832771780373.706","879180034819.441","924934750593.887","1003060847893.52","1101189723611.12","1214257687240.17","1338407844201.81","1433553527637.11","1467115194486.78","1560679652080.85","1665053117567.69","1688579208508.66","1803609272334.77","1944269373922.5","2007743436422.01","2112428630963.13","2225871453032.1","2346368473192.88","2443914426336.24","2409235297468.23",
"Afghanistan","AFG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19821201272.7123","21972474901.6777","22883102406.9713","26245649893.4599","28488533288.0223","33298540656.4323","35278625599.7927","43151385722.0354","49924017476.7623","51184181904.4289","59667003515.1962","65039839448.5561","69058343420.1602","71831696727.8086","70097956089.2877","74711922906.3738","77415569869.8162","81879802965.493","81268222146.3102",
"Africa Western and Central","AFW","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","344909868663.453","361065353371.424","379048711226.952","383807466732.128","391254825322.472","407496738181.995","434106698214.731","458560182608.826","480468680861.642","495045451494.012","524234059742.363","565941554938.759","631642287452.071","681386483146.193","755199374498.331","825254027657.849","895310208425.321","970491402006.612","1050523649368.04","1123097254334.73","1211711364490.77","1299276679247.05","1374238154693.49","1500811099873.13","1606599812361.59","1653464201396.07","1671093085177.19","1737270112543.21","1834074819421.19","1929576645443.24","1937523732484.45",
"Angola","AGO","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38853486198.221","40565621895.643","39067768926.4374","30401925867.0135","31467023358.86","36945883949.3297","42718061571.3044","46644927780.4344","49382736263.9042","51188559061.9269","53931438611.886","57432494669.7672","66313630684.0612","69564636251.1885","79261910487.6944","94014137040.1714","108044190442.528","126490191862.26","143349394242.913","145682561883.685","153870650179.651","162538809184.169","186124220333.292","199865635605.063","220364785384.766","204603585194.557","204874680466.819","217987314775.762","218748623735.012","221262824980.767","214894519402.732",
"Albania","ALB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8371548665.95362","6231165872.7847","5915121862.38241","6634184294.83512","7338442210.84957","8490474176.91998","9432711797.53141","8552914712.56956","9451071924.40404","10792608912.6977","11931318529.5855","13162975598.2092","14221914379.6892","15182653014.868","16415700681.6275","17663327675.7343","19624528716.8643","21605461982.0777","24251465013.7206","25819283364.2435","28070187015.0732","29655456332.3237","30530546077.6886","30603925190.2399","32529279134.4629","33585730434.5025","34739850853.7913","36696847617.1258","38829309990.0856","40617962172.575","39211248780.5331",
"Andorra","AND","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1480410627407.38","1646781552768.94","1768043760272.74","1861505803239.87","1956012310741.36","2049934332233.92","2182334663693.28","2313616049276.59","2469958798865.83","2556072975582.6","2788933655299.56","2894969065670.41","2948747257092.48","3128543171055.57","3510427554740.9","3816926750110.85","4161863160511.65","4465234196080.71","4818830954516.52","4890916919368.68","5181879012798.11","5474790167564.19","5959762880244.88","6071557204350.54","6090128922239.27","5577635883267.1","5494621533987.7","5820779262170.26","6108282886581.08","6332043822190.59","6153231552388.65",
"United Arab Emirates","ARE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","159386127461.265","166193396469.959","175666558811.254","182098458219.677","198812973868.749","216557082541.88","233308939779.578","256931522937.121","260582009100.844","272016137716.577","308278032479.587","319447556791.36","332397038613.156","368365956294.372","414471367020.011","448131906384.738","507111540730.546","537316172500.954","565251527229.531","539699098306.834","554739094150.249","605575063616.23","631707057954.974","647295742436.972","678339276123.81","601179365119.067","598811161712.48","637384703409.743","660454236989.386","683522726303.177","",
"Argentina","ARG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","234564125672.49","264644000848.374","292159264258.284","323630227657.508","349832146514.708","347005607350.473","372888233736.503","410342067258.763","430937274294.631","422359326228.804","428394155078.285","418489172661.132","378795278976.384","419925810757.286","470169433019.259","527729109507.491","587451576462.842","657569211584.856","697557858459.69","661275816702.498","736718360687.747","797263881242.037","819697901873.041","849616000404.317","839896688260.086","867176759338.262","885227528869.049","1039330591568.54","1036982074614.46","1033454909164.83","942366948052.565",
